mean_ms_util,variation_from_mean,cluster_imprv,global_demand_meet_percentage,local_demand_meet_percentage
50,50,4.035329332023258e-14,100.0,100.0
120,50,0.06244624544633609,37.47645951035782,37.93838609956295
130,50,0.010336128869546688,22.961304764950434,22.467398642646483
140,50,0.009238645846558468,12.024304445155101,11.107557829655686
150,50,0.0,0.9842589631524713,0.9842589631524713
100,50,0.6031053210198355,96.9619443556124,82.51430195785808
110,50,0.06572794302080749,54.09160359592084,56.26621184664037
60,50,0.00023250831226950992,99.95380734107948,99.93959421525778
70,50,0.00045607960166954976,99.93604093380236,99.9111679636144
80,50,0.008045175780295627,99.89340155633728,99.77258998685285
90,50,0.027486663525945233,99.87208186760473,98.98020822229329
