default_load_pct,pct_of_svc_spiking,cluster_imprv,global_demand_meet_percentage,local_demand_meet_percentage,global_cluster_util,local_cluster_util,cluster_cap
50.0,3,27.24908998504569,97.00103045162207,97.00103045162207,4266464.751109109,3352845.0000000033,4667660
50.0,3,26.366703156632042,97.00103045162207,97.00103045162207,4173209.8250665083,3302459.999999998,4667660
50.0,0.1,1.6036102020113507,99.90050811924812,99.90050811924812,2412404.998109416,2374330.0,4667660
50.0,0.5,5.673101989500387,99.50254059624064,99.50254059624064,2626784.9836693043,2485765.0,4667660
50.0,0.75,10.013125170812142,99.25025761290553,99.25025761290553,2878729.9483134164,2616714.9999999995,4667660
50.0,1,11.25312755598775,99.00152791102583,99.00152791102583,2956334.9212016403,2657305.0,4667660
50.0,2,20.707760605094744,98.00305582205166,98.00305582205166,3645959.8029127955,3020484.9999999995,4667660
50.0,10,8.933603950837915,90.00106598443662,90.00106598443662,4632199.980842064,4252314.999999992,4667660
50.0,20,3.039841881780754,80.00213196887326,80.00213196887326,4648049.987405712,4510924.9999999935,4667660
50.0,50,0.21642340461843773,50.00177664072771,50.00177664072771,4662984.997057028,4652915.000000026,4667660
50.0,100,2.7826785058503212e-08,0.0,0.0,4667660.00129886,4667660.0,4667660
