default_load_pct,pct_of_svc_spiking,cluster_imprv,global_demand_meet_percentage,local_demand_meet_percentage,global_cluster_util,local_cluster_util,cluster_cap
80,0.1,2.106062599227642,99.90050811924812,99.90050811924812,3834342.0,3755254.0,4667660
80,0.5,7.4431805657749175,99.50254059624064,99.50254059624064,4094492.0,3810844.0000000005,4667660
80,0.75,6.063112509443472,99.25025761290553,99.25025761290553,4026440.0,3796268.0000000005,4667660
80,1,16.32024082568809,99.00152791102583,99.00152791102583,4544120.0,3906559.9999999995,4667660
80,2,17.72427277289471,98.00305582205166,98.00305582205166,4649466.0,3949453.999999999,4667660
80,3,9.881998790215944,97.00103045162207,97.00103045162207,4650382.0,4232159.999999997,4667660
80,10,3.679409627223111,90.00106598443662,90.00106598443662,4656516.0,4491263.999999994,4667660
80,20,0.7882236326041968,80.00213196887326,80.00213196887326,4658982.0,4622546.0,4667660
80,50,0.06829099949488175,50.00177664072771,50.00177664072771,4662654.0,4659472.000000016,4667660
80,100,0.0,0.0,0.0,4667660.0,4667660.0,4667660
50.0,0.1,3.5778912700277408,99.90050811924812,99.90050811924812,2512810.0,2426010.0,4667660
50.0,0.5,6.712472207706536,99.50254059624064,99.50254059624064,2685350.0,2516435.0,4667660
50.0,0.75,8.920015957302576,99.25025761290553,99.25025761290553,2812195.0,2581890.0000000005,4667660
50.0,1,11.823641303332325,99.00152791102583,99.00152791102583,2992300.0,2675910.0,4667660
50.0,2,22.38578040361467,98.00305582205166,98.00305582205166,3786665.0,3094040.0000000005,4667660
50.0,3,28.39052707656518,97.00103045162207,97.00103045162207,4432240.0,3452155.000000001,4667660
50.0,10,11.3644360171819,90.00106598443662,90.00106598443662,4636920.0,4163734.999999992,4667660
50.0,20,2.057841619592117,80.00213196887326,80.00213196887326,4651230.0,4557444.99999998,4667660
50.0,50,0.12516021367501978,50.00177664072771,50.00177664072771,4655860.0,4650040.000000026,4667660
50.0,100,0.0,0.0,0.0,4667660.0,4667660.0,4667660
25.0,0.1,1.6475544399146902,99.90050811924812,99.90050811924812,1252275.0,1231977.5,4667660
25.0,0.5,4.641847485536919,99.50254059624064,99.50254059624064,1436167.5,1372460.0,4667660
25.0,0.75,6.700995445028902,99.25025761290553,99.25025761290553,1588812.5,1489032.5,4667660
25.0,1,8.976156870117329,99.00152791102583,99.00152791102583,1797025.0,1649007.5,4667660
25.0,2,13.478141416832482,98.00305582205166,98.00305582205166,2385285.0,2101977.5,4667660
25.0,3,16.114269437317738,97.00103045162207,97.00103045162207,2914607.5,2510120.0,4667660
25.0,10,15.127968681592204,90.00106598443662,90.00106598443662,4516392.5,3922932.499999998,4667660
25.0,20,2.235871827804407,80.00213196887326,80.00213196887326,4616767.5,4515800.000000008,4667660
25.0,50,0.19436466678439182,50.00177664072771,50.00177664072771,4638182.5,4629184.999999917,4667660
25.0,100,0.0,0.0,0.0,4667660.0,4667660.0,4667660
