tenant_name,tenant_load,tenant_util,default_load_pct,pct_of_svc_spiking,lb_type
MS_17974,335.0,335.0000000000001,50.0,3,global
MS_2325,50.0,50.0,50.0,3,global
MS_39706,3000000.0,44151.471406382356,50.0,3,global
MS_11538,15.0,15.0,50.0,3,global
MS_52302,25.0,25.0,50.0,3,global
MS_11733,1300.0,1300.000000000001,50.0,3,global
MS_26377,20000.0,294.3407037843865,50.0,3,global
MS_26038,100.0,99.99999999999999,50.0,3,global
MS_62281,195.0,195.00000000000006,50.0,3,global
MS_48661,400.0,399.99999999999983,50.0,3,global
MS_53782,5995.0,5995.00000000001,50.0,3,global
MS_2328,25.0,25.000000000000004,50.0,3,global
MS_44882,10.0,10.0,50.0,3,global
MS_67439,1080.0,1079.9999999999998,50.0,3,global
MS_22737,75.0,75.00000000000001,50.0,3,global
MS_9297,725.0,725.0000000000002,50.0,3,global
MS_36221,465.0,464.9999999999998,50.0,3,global
MS_1400,1940.0,1940.0,50.0,3,global
MS_73317,7410.0,7410.000000000025,50.0,3,global
MS_61740,20.0,20.0,50.0,3,global
MS_43502,100.0,100.00000000000004,50.0,3,global
MS_26883,585.0,585.0000000000005,50.0,3,global
MS_37317,135.0,135.0,50.0,3,global
MS_57387,6280.0,6280.000000000003,50.0,3,global
MS_9739,1830.0,1829.9999999999993,50.0,3,global
MS_7569,860.0,860.0000000000009,50.0,3,global
MS_14243,640.0,639.9999999999999,50.0,3,global
MS_60897,20.0,20.0,50.0,3,global
MS_12173,155.0,154.99999999999997,50.0,3,global
MS_72574,60.0,60.000000000000014,50.0,3,global
MS_20418,700.0,700.0,50.0,3,global
MS_13387,1110.0,1109.9999999999998,50.0,3,global
MS_59839,450.0,449.9999999999999,50.0,3,global
MS_28907,3400.0,3400.0000000000027,50.0,3,global
MS_25141,20.0,20.0,50.0,3,global
MS_28720,20.0,20.0,50.0,3,global
MS_14561,970.0,969.9999999999998,50.0,3,global
MS_45221,50.0,50.0,50.0,3,global
MS_26434,580.0,579.9999999999999,50.0,3,global
MS_68756,500.0,500.0,50.0,3,global
MS_63290,100.0,100.00000000000003,50.0,3,global
MS_21035,6295.0,6295.0000000046,50.0,3,global
MS_43004,75.0,75.00000000000001,50.0,3,global
MS_6945,38455.0,38455.000000000124,50.0,3,global
MS_37418,40.0,40.00000000000001,50.0,3,global
MS_23592,175.0,174.99999999999994,50.0,3,global
MS_21437,240.0,240.0,50.0,3,global
MS_55942,1825.0,1824.999999999999,50.0,3,global
MS_8741,10.0,10.0,50.0,3,global
MS_49699,3000.0,2999.999999999999,50.0,3,global
MS_22104,40.0,40.0,50.0,3,global
MS_19991,5.0,5.0,50.0,3,global
MS_66452,100.0,100.0,50.0,3,global
MS_45395,100.0,100.0,50.0,3,global
MS_66711,8500.0,8499.999999883652,50.0,3,global
MS_50329,400.0,400.0000000000001,50.0,3,global
MS_69230,1965.0,1965.0000000000007,50.0,3,global
MS_23410,60.0,60.0,50.0,3,global
MS_21501,200.0,200.0,50.0,3,global
MS_40814,3000.0,3000.0,50.0,3,global
MS_19135,715.0,715.0000000000003,50.0,3,global
MS_67364,155.0,155.0,50.0,3,global
MS_34782,300.0,300.0000000000001,50.0,3,global
MS_49632,400.0,399.9999999999999,50.0,3,global
MS_35665,200.0,200.00000000000006,50.0,3,global
MS_65849,675.0,674.9999999999994,50.0,3,global
MS_49127,170.0,170.0,50.0,3,global
MS_27381,5995.0,5995.000000000008,50.0,3,global
MS_46961,500.0,500.0,50.0,3,global
MS_42772,2810.0,2810.0000000000014,50.0,3,global
MS_72527,230.0,230.0,50.0,3,global
MS_44022,55.0,55.000000000000014,50.0,3,global
MS_32674,890000.0,13098.270152856021,50.0,3,global
MS_69293,30.0,30.0,50.0,3,global
MS_72652,345.0,344.9999999999998,50.0,3,global
MS_61375,1500.0,1500.0000000000011,50.0,3,global
MS_46976,1500.0,1500.0000000000002,50.0,3,global
MS_5795,995.0,995.0000000000001,50.0,3,global
MS_46378,350.0,349.99999999999994,50.0,3,global
MS_64360,785.0,785.0000000000003,50.0,3,global
MS_62950,590.0,590.0000000000005,50.0,3,global
MS_21922,120.0,120.00000000000001,50.0,3,global
MS_345,1500.0,1499.9999999999998,50.0,3,global
MS_10025,540.0,539.9999999999997,50.0,3,global
MS_24490,85.0,84.99999999999997,50.0,3,global
MS_54778,115.0,115.0,50.0,3,global
MS_63478,400.0,399.9999999999997,50.0,3,global
MS_17479,800.0,799.9999999999992,50.0,3,global
MS_44734,3450.0,3450.0000000000045,50.0,3,global
MS_62825,720.0,720.0000000000001,50.0,3,global
MS_40269,2735.0,2735.0000000000027,50.0,3,global
MS_12386,100.0,100.00000000000003,50.0,3,global
MS_38449,720.0,720.0000000000001,50.0,3,global
MS_40848,1500.0,1499.999999999999,50.0,3,global
MS_13729,5595.0,5594.999999999999,50.0,3,global
MS_66301,120.0,119.99999999999999,50.0,3,global
MS_69998,1505.0,1504.9999999999975,50.0,3,global
MS_48613,270.0,269.99999999999994,50.0,3,global
MS_149,20.0,19.999999999999996,50.0,3,global
MS_43157,9980.0,9980.0,50.0,3,global
MS_11642,1650.0,1650.000000000003,50.0,3,global
MS_2926,2350.0,2350.0000000000036,50.0,3,global
MS_2,1650.0,1650.000000000001,50.0,3,global
MS_36411,30.0,29.999999999999996,50.0,3,global
MS_178,170.0,170.00000000000006,50.0,3,global
MS_22788,1300.0,1300.0000000000002,50.0,3,global
MS_33796,160.0,159.99999999999994,50.0,3,global
MS_46185,60.0,60.0,50.0,3,global
MS_62020,165.0,165.00000000000003,50.0,3,global
MS_26339,320.0,320.0000000000001,50.0,3,global
MS_18983,15.0,15.000000000000002,50.0,3,global
MS_19401,185.0,184.99999999999991,50.0,3,global
MS_24363,10.0,10.0,50.0,3,global
MS_11681,570.0,569.9999999999998,50.0,3,global
MS_66386,140.0,140.0,50.0,3,global
MS_40738,500.0,500.0000000000001,50.0,3,global
MS_47879,1150.0,1149.9999999098184,50.0,3,global
MS_24340,635.0,635.0000000000002,50.0,3,global
MS_67876,25.0,24.999999999999996,50.0,3,global
MS_18303,135.0,135.0,50.0,3,global
MS_35255,4995.0,4995.000000000003,50.0,3,global
MS_4803,1500.0,1500.0000000000005,50.0,3,global
MS_62721,180.0,179.99999999999994,50.0,3,global
